image,caption
synthetic_0001.jpg,A red car is shown in a yard.
synthetic_0002.jpg,A blue flower is shown in a yard.
synthetic_0003.jpg,A yellow bird is shown in a park.
synthetic_0004.jpg,A blue flower is shown in a field.
synthetic_0005.jpg,A blue boat is shown in a yard.
synthetic_0006.jpg,A yellow flower is shown in a field.
synthetic_0007.jpg,A purple tree is shown in a beach.
synthetic_0008.jpg,A blue tree is shown in a garden.
synthetic_0009.jpg,A red cat is shown in a garden.
synthetic_0010.jpg,A green bird is shown in a park.
synthetic_0011.jpg,A red boat is shown in a beach.
synthetic_0012.jpg,A green bird is shown in a field.
synthetic_0013.jpg,A purple ball is shown in a street.
synthetic_0014.jpg,A blue car is shown in a park.
synthetic_0015.jpg,A purple bicycle is shown in a garden.
synthetic_0016.jpg,A blue dog is shown in a yard.
synthetic_0017.jpg,A purple bird is shown in a street.
synthetic_0018.jpg,A yellow tree is shown in a beach.
synthetic_0019.jpg,A red dog is shown in a street.
synthetic_0020.jpg,A yellow dog is shown in a garden.
synthetic_0021.jpg,A purple bird is shown in a garden.
synthetic_0022.jpg,A purple cat is shown in a beach.
synthetic_0023.jpg,A blue tree is shown in a yard.
synthetic_0024.jpg,A yellow bird is shown in a field.
synthetic_0025.jpg,A blue flower is shown in a field.
synthetic_0026.jpg,A red ball is shown in a street.
synthetic_0027.jpg,A orange cat is shown in a park.
synthetic_0028.jpg,A yellow bird is shown in a field.
synthetic_0029.jpg,A purple car is shown in a field.
synthetic_0030.jpg,A red dog is shown in a garden.
synthetic_0031.jpg,A red bicycle is shown in a yard.
synthetic_0032.jpg,A blue boat is shown in a field.
synthetic_0033.jpg,A purple house is shown in a field.
synthetic_0034.jpg,A green tree is shown in a street.
synthetic_0035.jpg,A green bird is shown in a beach.
synthetic_0036.jpg,A green dog is shown in a street.
synthetic_0037.jpg,A red bird is shown in a park.
synthetic_0038.jpg,A orange car is shown in a street.
synthetic_0039.jpg,A blue boat is shown in a garden.
synthetic_0040.jpg,A orange flower is shown in a yard.
synthetic_0041.jpg,A yellow house is shown in a yard.
synthetic_0042.jpg,A orange bicycle is shown in a beach.
synthetic_0043.jpg,A red flower is shown in a garden.
synthetic_0044.jpg,A blue bird is shown in a park.
